"id","week_number","day_of_week","reading_title","reading_type","completed","completed_at"
"00249130-2068-47ee-a96d-1ce9e7865975","3","2","Genesis 19","daily_reading","false",
"01e4dd41-8729-48ce-bf55-57663c2c6a69","10","2","Leviticus 1-3","daily_reading","false",
"0206f03c-af42-4c4c-9471-5daa425ec624","7","1","Exodus 9-10","daily_reading","false",
"029ee2b7-7cf5-4b46-af03-adf243be834d","49","2","Ezekiel 7-9","daily_reading","false",
"03ac977b-1b7d-4acf-9016-48736ac1028f","17","1","Joshua 7-9","daily_reading","false",
"03e9c12c-b057-45c7-be99-86613318f704","22","3","2 Samuel 7-9","daily_reading","false",
"0465a859-cdd5-44ac-ad1c-754df1ee3221","35","2","Psalm 123-125","daily_reading","false",
"04fd7180-a0d8-4e13-9265-22519e2c9538","26",,"Memory: Psalm 139:1-6","memory_verse","false",
"05da7cbe-17ef-4eb4-adc9-558cfa89e67a","39","4","Ecclesiastes 7-9","daily_reading","false",
"06454701-aec4-43d4-ac4a-b6929ef25047","16","3","Deuteronomy 31-34","daily_reading","false",
"07e34057-7d5b-4dee-8298-9c31c782fae1","16","2","Deuteronomy 28-30","daily_reading","false",
"08357957-c596-4484-848f-5692a2f006a0","27","1","Psalm 2-3","daily_reading","false",
"092c3a02-524d-43d3-af0d-b990f1c232ed","5","4","Genesis 44-45","daily_reading","false",
"09ea6e7b-c989-46c4-b120-6d93cd165a6f","36","2","Psalm 138-140","daily_reading","false",
"0abeb4b9-1f25-40a7-bfa0-bc4e2cf2fde9","42","4","Isaiah 31-33","daily_reading","false",
"0ac1e292-5fa3-407a-af5d-dd1a91ff26df","10","3","Leviticus 4-6","daily_reading","false",
"0b071bd9-8dcc-4b82-920f-761ebaa229fa","8","2","Exodus 21-22","daily_reading","false",
"0d0cd09c-6b37-43be-823e-10883f65445e","9","5","Exodus 37-38","daily_reading","false",
"0e077a2a-23f9-4333-9e33-54f0480e2be5","37","3","Proverbs 6-8","daily_reading","false",
"0f2d03a3-c7e9-40bb-9124-6658ca0d023a","21","5","1 Samuel 28-31","daily_reading","false",
"0f53b810-c46f-4a4c-ab4d-1278f865c574","11","5","Leviticus 25-27","daily_reading","false",
"0ff2c21c-5b01-4c92-a868-60a7d924bf5b","44","1","Isaiah 52-54","daily_reading","false",
"10e8326d-e659-4276-b6eb-61ae5d087b11","38","4","Proverbs 24-26","daily_reading","false",
"1181375b-48c7-4236-8518-7b65e17f1ce5","16","5","Joshua 4-6","daily_reading","false",
"11fdacfc-5ba4-49ed-856c-96264f255839","52","2","Daniel 4-6","daily_reading","false",
"130b07ba-2074-4ee3-bbb3-867c594482b1","32","1","Psalm 76-78","daily_reading","false",
"1317f24d-5be2-4943-a5a1-40384b029b2e","25","5","2 Kings 10-12","daily_reading","false",
"13cf371b-58ea-4b2e-9b5d-1b78f9f41632","38",,"Memory: Psalm 139:13-18","memory_verse","false",
"14782df9-c6fe-4289-bba5-6284e0557531","26","5","Psalm 1","daily_reading","false",
"14bd9a27-679c-419b-b3ba-7b98c99a2614","28","3","Psalm 22-24","daily_reading","false",
"151c5904-769f-49f1-b26c-3296db6bd20a","19",,"Memory: Psalm 23:4-6","memory_verse","false",
"1606498a-fb79-42bb-95b1-2597a53ee69e","10","1","Exodus 39-40","daily_reading","false",
"167a21b2-c701-42e0-b9d0-10ea0f5522b8","48",,"Memory: 1 Corinthians 13:4-8a","memory_verse","false",
"170d4d8d-b335-419c-9007-b00302fe4b1a","48","3","Lamentations 1-2","daily_reading","false",
"1724c063-6959-40ce-b3e0-e4ea327bef55","52","1","Daniel 1-3","daily_reading","false",
"178294cd-3b2a-4596-9fb7-6df0c906f47b","33","4","Psalm 100-102","daily_reading","false",
"183bd026-1fe8-4519-bb7c-cb4092e7cdfa","12","4","Numbers 10-12","daily_reading","false",
"188af555-918c-4ba2-9eef-0b449716b04b","7","2","Exodus 11-12","daily_reading","false",
"18e1a947-1184-48cb-bd47-abf7aaa2afe6","44",,"Memory: Psalm 139:19-24","memory_verse","false",
"1959f5b2-cce0-4637-b9aa-ef516a0293b0","22",,"Memory: Psalm 139:1-6","memory_verse","false",
"198098c7-ee91-44a8-b6a9-653624c6d2a9","4",,"Genesis 28:15 - I am with you and will watch over you wherever you go","memory_verse","false",
"1b0c576b-7790-4704-978e-57e0841377d0","1","1","Genesis 1-2","daily_reading","false","""2025-08-31T00:58:53.443Z"""
"1b32bc54-bf06-4366-bf95-233eb9573adf","41",,"Memory: Psalm 139:19-24","memory_verse","false",
"1b81fe6f-60e1-45b5-aba3-937cc7ae69c5","15",,"Memory: Psalm 23:4-6","memory_verse","false",
"1ce5f3d2-166d-499e-b55a-40dcd776927d","27","5","Psalm 13-15","daily_reading","false",
"1d02cb79-6e18-452f-a229-74faf2f85a95","12","5","Numbers 13-15","daily_reading","false",
"1d1b7da0-0f61-4452-932e-dffd7184fd0c","1","5","Job 1-2","daily_reading","false","""2025-09-04T01:22:53.776Z"""
"1d9075f9-8242-4b33-b36a-bc0aff73df6c","35","5","Psalm 132-134","daily_reading","false",
"1db216ab-8802-479e-9925-d84ca2835b8e","12",,"Memory: Psalm 23:1-3","memory_verse","false",
"1eb26c75-a2d0-48a7-83f5-12b9cb427a2e","3","5","Genesis 25","daily_reading","false",
"1f177195-67ef-4a03-a0c0-155da265dea0","35","3","Psalm 126-128","daily_reading","false",
"1f7c0ef3-6a74-4c3f-a52a-220a8077dfa3","38","2","Proverbs 18-20","daily_reading","false",
"214c489e-8fe5-462e-801c-cc0a8e0d0fe6","36","3","Psalm 141-143","daily_reading","false",
"219c5ca1-0b2f-4288-ba5d-53663fb62634","8","4","Exodus 25-26","daily_reading","false",
"21b1c670-8907-4822-8c1e-b8364dec9c82","13","5","Numbers 28-30","daily_reading","false",
"2393c6a3-dafa-48f7-a17b-8f0b1bde080b","2","1","Job 38-39","daily_reading","false","""2025-09-04T12:46:02.476Z"""
"23c755c6-72b7-471a-bc90-13212078266c","41","1","Isaiah 7-9","daily_reading","false",
"245d6aa9-9de7-4fcc-813c-ed59c81fada9","34","1","Psalm 106-108","daily_reading","false",
"247697e8-8f34-4219-9c46-73c198e4eee7","40","4","Isaiah 1-3","daily_reading","false",
"2584870d-4ec9-4346-ae13-740864f740a5","28","1","Psalm 16-18","daily_reading","false",
"25c7a7b3-f6b3-44cb-9cde-1d878c4c7d61","4","3","Genesis 29","daily_reading","false",
"2642683f-4efd-44f6-b53b-927ed254da0a","14","5","Deuteronomy 7-9","daily_reading","false",
"26c61a87-f05f-4f2a-b336-2cf4c2672d1e","43",,"Memory: Psalm 139:19-24","memory_verse","false",
"27254cdf-1b68-402b-9126-bc85cc2ec436","29","1","Psalm 31-33","daily_reading","false",
"27b03475-4d74-4719-bc06-dba05ed2c9a8","42","5","Isaiah 34-36","daily_reading","false",
"27ee9e21-c0a1-4175-a3c5-5503d8003406","7",,"Memory: Psalm 23:1-3","memory_verse","false",
"2983024b-829f-4dd9-8070-1e56f5f424aa","50","1","Ezekiel 19-21","daily_reading","false",
"29a6d5f3-24b1-45ee-bacb-89ff9f56d06a","8","1","Exodus 19-20","daily_reading","false",
"2b2a2bf7-ccf9-4179-a4ae-eb942daf2d04","31","1","Psalm 61-63","daily_reading","false",
"2bba6dbb-ffa7-41e2-8ef3-a25652e53ce4","51","4","Ezekiel 43-45","daily_reading","false",
"2bc85b7a-7a73-4392-a0e9-67e4849607cc","3","4","Genesis 24","daily_reading","false",
"2bc87e99-f710-4fb7-bf31-8ebda82cf1fc","33","5","Psalm 103-105","daily_reading","false",
"2eafec6d-a1d6-4cff-b898-502bdd803afe","46","2","Jeremiah 19-21","daily_reading","false",
"3092ec3a-8944-40ca-a885-8fc6d5906f8a","32","5","Psalm 88-90","daily_reading","false",
"30fe5cb5-4f42-40ae-9591-70ece2f016cd","48","2","Jeremiah 49-52","daily_reading","false",
"33367089-43e6-4795-b636-729f26de93b3","42","3","Isaiah 28-30","daily_reading","false",
"352895c3-45fa-433c-8d78-7db69b78dd33","34","2","Psalm 109-111","daily_reading","false",
"358eb817-5779-4a05-bb75-91190648a01e","46","3","Jeremiah 22-24","daily_reading","false",
"359c2172-0b6c-47e1-a371-c67d81e89f6c","15","2","Deuteronomy 13-15","daily_reading","false",
"3805ac94-9b2e-46b2-bf20-530c6818c0fa","11","2","Leviticus 16-18","daily_reading","false",
"3812d6c7-0893-4fbf-91a6-39c97437cb53","24","4","1 Kings 15-17","daily_reading","false",
"384d2fef-42a3-4ab3-9d27-66d313a42506","49",,"Memory: 1 Corinthians 13:4-8a","memory_verse","false",
"3879969a-1a13-449a-9fc5-0bb4eb5ca78b","31","2","Psalm 64-66","daily_reading","false",
"3a70a08e-d76b-4e45-a65f-94f5d2b24e36","20","1","1 Samuel 1-3","daily_reading","false",
"3a7f046e-5939-4122-aaf6-bbce62e2b7e4","11","4","Leviticus 22-24","daily_reading","false",
"3c407525-f789-484b-9e2f-81971cdd519e","45","1","Jeremiah 1-3","daily_reading","false",
"3c7da72c-1ef5-4e46-942c-9e684cb327e2","34","5","Psalm 118-119","daily_reading","false",
"3db20050-59de-43b3-831c-78e6877e4921","15","1","Deuteronomy 10-12","daily_reading","false",
"3e747934-0014-433e-89ad-f497a03d9116","36","1","Psalm 135-137","daily_reading","false",
"3ee84a61-4e49-437e-8349-ab40f95b6dea","16","1","Deuteronomy 25-27","daily_reading","false",
"3f6d54db-6196-4156-a717-1cdc545de162","52","3","Daniel 7-9","daily_reading","false",
"3f794f87-5f79-4380-8790-ab32c9a56236","33","2","Psalm 94-96","daily_reading","false",
"42c05d7e-200c-4a24-a3c2-83c0a75c4779","40",,"Memory: Psalm 139:19-24","memory_verse","false",
"43a1cb28-6e31-4094-abc7-b94a5d1bd6a7","48","1","Jeremiah 46-48","daily_reading","false",
"45d77afc-28c3-4bf8-9ae8-2faabc45bb6c","17","5","Joshua 19-21","daily_reading","false",
"481b5932-3616-4a3d-ac06-553f292b5315","37","1","Proverbs 1-2","daily_reading","false",
"49763086-9c46-4899-be30-a2375969a08b","20","3","1 Samuel 7-9","daily_reading","false",
"4a79153b-3bad-47b1-a4af-c61d9c6990da","32","4","Psalm 85-87","daily_reading","false",
"4aca0d40-7bd1-490d-9370-a66375cb5a7e","18","1","Joshua 22-24","daily_reading","false",
"4c18ce8f-d3ef-4c38-8f91-1d04fec849b2","8",,"Memory: Psalm 23:1-3","memory_verse","false",
"4c97ceb1-63e5-4ce7-8820-8865469fc182","22","5","2 Samuel 13-15","daily_reading","false",
"4ca88d4d-0ec4-4ed4-b45d-afcbeff9d478","22","2","2 Samuel 4-6","daily_reading","false",
"4d547cc2-10f6-4ae6-831a-3d08c14da110","29",,"Memory: Psalm 139:7-12","memory_verse","false",
"4e921a6b-3255-42bc-ab5d-d7a200593804","49","1","Ezekiel 4-6","daily_reading","false",
"4f8362f1-0178-4a80-b9fc-85cbcc541152","34",,"Memory: Psalm 139:13-18","memory_verse","false",
"4fabb04d-d068-4aa6-8700-1580ea26b369","44","3","Isaiah 58-60","daily_reading","false",
"508a79b0-4b11-46b1-bf8e-b9def3ba4035","29","3","Psalm 37-39","daily_reading","false",
"51b981bc-df5b-43e7-b59b-ac0e001213b2","39","1","Proverbs 30-31","daily_reading","false",
"5222c9dc-714b-41fb-906e-d37afe4fc756","34","4","Psalm 115-117","daily_reading","false",
"52c71498-b64b-4066-9753-4d569fcb0a1c","42",,"Memory: Psalm 139:19-24","memory_verse","false",
"54261b43-00b5-482b-a079-1879ee9a79c5","23",,"Memory: Psalm 139:1-6","memory_verse","false",
"5518fc87-d555-4827-a6bf-f62d94313eeb","19","3","Judges 19-21","daily_reading","false",
"5594a12e-bf2d-4bb8-bdcd-215e1f0a479e","47","3","Jeremiah 37-39","daily_reading","false",
"575aedcf-d50a-49d3-9570-b5611c94d729","17",,"Memory: Psalm 23:4-6","memory_verse","false",
"59091ef3-a27b-498a-86e3-95688341eb9a","19","5","Ruth 3-4","daily_reading","false",
"590cb0cc-a50b-4b28-bf14-1dc7296c2a79","21","4","1 Samuel 25-27","daily_reading","false",
"598e5a5c-0030-40bd-b47b-793fe11ac8b2","12","2","Numbers 4-6","daily_reading","false",
"5b37d144-e137-4f33-a0d5-1023aeb540c6","29","5","Psalm 43-45","daily_reading","false",
"5d7d88b7-aeb8-40bc-9085-9836fc55495b","41","3","Isaiah 13-15","daily_reading","false",
"5ec671f6-1a8b-4143-bf51-dfe526b23a19","13","4","Numbers 25-27","daily_reading","false",
"6079c826-1560-4497-baab-b324b280faa0","36",,"Memory: Psalm 139:13-18","memory_verse","false",
"60ec6731-5417-4a9d-8b46-f287f32bd0eb","25","1","1 Kings 21-22","daily_reading","false",
"62228ce3-f008-4a1c-80c2-62eabce2e70c","44","2","Isaiah 55-57","daily_reading","false",
"62b84be0-95eb-4968-a300-2c235038a771","18","2","Judges 1-3","daily_reading","false",
"63e732ef-cb89-4a61-9b1d-e59215145ec3","42","1","Isaiah 22-24","daily_reading","false",
"64a44bcd-9a98-447a-9b2e-cc622de15048","28",,"Memory: Psalm 139:7-12","memory_verse","false",
"65a01506-e1bc-4d8c-8f9e-7d1bbc0470ad","13","2","Numbers 19-21","daily_reading","false",
"65ee90c6-2f5a-47c6-a324-07b00232306f","5",,"Memory: Psalm 23:1-3","memory_verse","false",
"661bf40a-7b06-4bb5-8ed4-00bc564db703","21",,"Memory: Psalm 139:1-6","memory_verse","false",
"66b87b1f-76db-43a2-a6b9-c59a5c8a8469","7","5","Exodus 17-18","daily_reading","false",
"67754d6d-56b0-4151-9eed-f3130d66e051","1","3","Genesis 6-7","daily_reading","false","""2025-09-02T04:05:47.912Z"""
"68238d4a-8b79-4a4d-a4bf-c62719d7d53d","28","5","Psalm 28-30","daily_reading","false",
"683ed4c8-36ad-491c-88fe-60eb412af7d4","20","4","1 Samuel 10-12","daily_reading","false",
"68d8ab9a-1128-4e35-b7b8-6f89c2486b38","47",,"Memory: 1 Corinthians 13:4-8a","memory_verse","false",
"68e0b03b-2811-4164-8c55-8f1767f5c6ee","2","4","Genesis 15","daily_reading","false",
"68e2162a-1c30-4f80-96e0-2168dc70d065","30","3","Psalm 52-54","daily_reading","false",
