Module Number,Reading Number,Reading Title/Topic,Link,Due Date
1,1,"Read Module 1 Introduction Chapter",https://apologia.instructure.com/courses/570/modules,9/10/25
1,2,"Read Criminal Law Chapter",https://apologia.instructure.com/courses/570/modules,9/10/25
1,3,"Read Civil Law Chapter",https://apologia.instructure.com/courses/570/modules,9/10/25
1,4,"Read Witnesses, Testimony, and Admissibility Chapter",https://apologia.instructure.com/courses/570/modules,9/10/25
1,5,"Read Evidence Chapter",https://apologia.instructure.com/courses/570/modules,9/11/25
1,6,"Read Scientific Method & Inference Chapter",https://apologia.instructure.com/courses/570/modules,9/11/25
1,7,"Read Case Notes: Nothing but the Truth Chapter",https://apologia.instructure.com/courses/570/modules,9/11/25
1,8,"Read Module 1 Laboratory Exercise Chapter",https://apologia.instructure.com/courses/570/modules,9/11/25
2,1,"Read Module 2 Introduction Chapter",https://apologia.instructure.com/courses/570/modules,9/12/25
2,2,"Read Recording and Collecting of Fingerprints Chapter",https://apologia.instructure.com/courses/570/modules,9/12/25
2,3,"Read Classification of Fingerprints Chapter",https://apologia.instructure.com/courses/570/modules,9/12/25
2,4,"Read Fingerprint Databases Chapter",https://apologia.instructure.com/courses/570/modules,9/15/25
2,5,"Read Crime Scenes - Lifting Prints Chapter",https://apologia.instructure.com/courses/570/modules,9/15/25
2,6,"Read Case Notes: Latent Fingerprints versus Latent Truths Chapter",https://apologia.instructure.com/courses/570/modules,9/15/25
2,7,"Read Module 2 Laboratory Exercise Chapter",https://apologia.instructure.com/courses/570/modules,9/16/25
3,1,"Read Module 3 Introduction Chapter",https://apologia.instructure.com/courses/570/modules,9/17/25
3,2,"Read Hairs and Fibers Chapter",https://apologia.instructure.com/courses/570/modules,9/17/25
3,3,"Read Pigment and Pattern Chapter",https://apologia.instructure.com/courses/570/modules,9/18/25
3,4,"Read Fibers Chapter",https://apologia.instructure.com/courses/570/modules,9/18/25
3,5,"Read A Few Things to Remember Chapter",https://apologia.instructure.com/courses/570/modules,9/19/25
3,6,"Read Case Notes: The First “Identification” by Hair Analysis? Chapter",https://apologia.instructure.com/courses/570/modules,9/22/25
3,7,"Read Module 3 Laboratory Exercise Chapter",https://apologia.instructure.com/courses/570/modules,9/23/25
4,1,"Read Module 4 Introduction Chapter",https://apologia.instructure.com/courses/570/modules,9/24/25
4,2,"Read Foot and Footwear Impressions Chapter",https://apologia.instructure.com/courses/570/modules,9/25/25
4,3,"Read Tire Impressions Chapter",https://apologia.instructure.com/courses/570/modules,9/26/25
4,4,"Read Other Impression Evidence Chapter",https://apologia.instructure.com/courses/570/modules,9/29/25
4,5,"Read Case Notes: Jesus’ Disciples: The First Toolmark/Impression Evidence Analysts? Chapter",https://apologia.instructure.com/courses/570/modules,9/30/25
4,6,"Read Module 4 Laboratory Exercise Chapter",https://apologia.instructure.com/courses/570/modules,10/1/25
5,1,"Read Module 5 Introduction Chapter",https://apologia.instructure.com/courses/570/modules,10/2/25
5,2,"Read Settings for Testing Chapter",https://apologia.instructure.com/courses/570/modules,10/3/25
5,3,"Read Test Performance Chapter",https://apologia.instructure.com/courses/570/modules,10/6/25
5,4,"Read Specimen Collection Chapter",https://apologia.instructure.com/courses/570/modules,10/7/25
5,5,"Read Screening Tests Chapter",https://apologia.instructure.com/courses/570/modules,10/8/25
5,6,"Read Confirmatory Tests Chapter",https://apologia.instructure.com/courses/570/modules,10/9/25
5,7,"Read Interpretation of Toxicology Results Chapter",https://apologia.instructure.com/courses/570/modules,10/10/25
5,8,"Read Mechanism of Action Chapter",https://apologia.instructure.com/courses/570/modules,10/13/25
5,9,"Read Consider a Forensics Profession - Forensic Toxicologist Chapter",https://apologia.instructure.com/courses/570/modules,10/14/25
5,10,"Read Case Notes: Intricate Mechanisms Chapter",https://apologia.instructure.com/courses/570/modules,10/15/25
5,11,"Read Module 5 Laboratory Exercise Chapter",https://apologia.instructure.com/courses/570/modules,10/16/25
6,1,"Read Module 6 Introduction Chapter",https://apologia.instructure.com/courses/570/modules,10/17/25
6,2,"Read Basic Gun Types Chapter",https://apologia.instructure.com/courses/570/modules,10/20/25
6,3,"Read Calibers and Gauges Chapter",https://apologia.instructure.com/courses/570/modules,10/21/25
6,4,"Read Common Gun Types Chapter",https://apologia.instructure.com/courses/570/modules,10/22/25
6,5,"Read Ammunition Types Chapter",https://apologia.instructure.com/courses/570/modules,10/23/25
